"Beneficiary Agency","State Bond Cap","Non-Bond Cap","Operating Funds","Federal Funds","Other Funds","Total"
"Trial Court","5000000","0","0","0","0","5000000"
"State Lottery Commission","0","20100000","0","0","0","20100000"
"Office of the State Auditor","875000","0","0","0","125000","1000000"
"State Ethics Commission","1000000","0","0","0","0","1000000"
"Exec Office for Administration & Finance","2219000","0","0","0","0","500000","2719000"
"George Fingold Library","0","0","0","0","0","0"
"Technology Services and Security","91232600","63883471","0","0","0","155116071"
"EO of Energy and Environmental Affairs","5550000","0","0","0","800000","6350000"
"Exec Office of Health & Human Services","7274986","3800000","45740361","98054746","96243428","251113521"
"Office for Refugees and Immigrants","1249500","0","15000","0","0","1264500"
"EO of Economic Development","12200000","0","0","0","3000000","15200000"
"Housing and Livable Communities","10000000","0","0","0","0","10000000"
"Executive Office of Labor and Workforce","15000000","0","0","0","0","15000000"
"Department of Labor Relations","150000","0","0","0","0","150000"
"Executive Office of Education","10031981","0","0","0","2069481","12101462"
"Early Ed and Care","5334375","0","0","0","744475","6078850"
"EO Public Safety and Security","29559500","0","0","0","984500","30544000"
"Total","196676942","87783471","45755361","98054746","104466884","532737404"
